Date,EnergyPrice
23/10/2015,39.43
24/10/2015,41.86
25/10/2015,37.94
26/10/2015,40.5
27/10/2015,41.61
28/10/2015,43.06
29/10/2015,49.14
30/10/2015,43.23
31/10/2015,37.06
1/11/2015,33.91
2/11/2015,39.75
3/11/2015,41.27
4/11/2015,42.25
5/11/2015,44
6/11/2015,37.57
7/11/2015,37.66
8/11/2015,38.18
9/11/2015,36.07
10/11/2015,35.5
11/11/2015,36.96
12/11/2015,37.76
13/11/2015,34.81
14/11/2015,36.21
15/11/2015,33.49
16/11/2015,34.7
17/11/2015,35.31
18/11/2015,35.42
19/11/2015,35.97
20/11/2015,39.71
21/11/2015,33.42
22/11/2015,38.18
23/11/2015,50.33
24/11/2015,37.42
25/11/2015,42.79
26/11/2015,51.05
27/11/2015,37.98
28/11/2015,38.06
29/11/2015,39.26
30/11/2015,38.51
1/12/2015,40.84
2/12/2015,37.61
3/12/2015,41.06
4/12/2015,38.75
5/12/2015,36.33
6/12/2015,32.19
7/12/2015,40.88
8/12/2015,35.6
9/12/2015,35.61
10/12/2015,32.11
11/12/2015,33.12
12/12/2015,33.89
13/12/2015,34.73
14/12/2015,42.1
15/12/2015,42.61
16/12/2015,37.04
17/12/2015,32.76
18/12/2015,33.5
19/12/2015,34.76
20/12/2015,26.48
21/12/2015,33.06
22/12/2015,29.8
23/12/2015,28.4
24/12/2015,29
25/12/2015,27.22
26/12/2015,25.17
27/12/2015,26.23
28/12/2015,31.53
29/12/2015,33.76
30/12/2015,30.93
31/12/2015,28.5
1/01/2016,44.09
2/01/2016,28.39
3/01/2016,23.79
4/01/2016,30.18
5/01/2016,33.14
6/01/2016,33.73
7/01/2016,34.05
8/01/2016,31.17
9/01/2016,28.9
10/01/2016,21.94
11/01/2016,33.46
12/01/2016,29.96
13/01/2016,29.62
14/01/2016,33.18
15/01/2016,35.9
16/01/2016,28.86
17/01/2016,27.85
18/01/2016,39.92
19/01/2016,49.18
20/01/2016,52.61
21/01/2016,52.03
22/01/2016,32.99
23/01/2016,28.19
24/01/2016,26.78
25/01/2016,28.38
26/01/2016,29.47
27/01/2016,27.44
28/01/2016,27.04
29/01/2016,28.22
30/01/2016,24.68
31/01/2016,21.94
1/02/2016,26.16
2/02/2016,25.91
3/02/2016,26.03
4/02/2016,26.63
5/02/2016,28.1
6/02/2016,19.16
7/02/2016,17.64
8/02/2016,23.84
9/02/2016,24.71
10/02/2016,26.28
11/02/2016,27.54
12/02/2016,28.59
13/02/2016,25.02
14/02/2016,18.85
15/02/2016,24.92
16/02/2016,32.71
17/02/2016,29.45
18/02/2016,29.3
19/02/2016,27.66
20/02/2016,23.44
21/02/2016,16.81
22/02/2016,24.33
23/02/2016,26.85
24/02/2016,27.56
25/02/2016,27.86
26/02/2016,28.09
27/02/2016,23.37
28/02/2016,18.86
29/02/2016,24.86
1/03/2016,26.2
2/03/2016,26.44
3/03/2016,28.45
4/03/2016,26.72
5/03/2016,25.65
6/03/2016,21.61
7/03/2016,29.91
8/03/2016,28.43
9/03/2016,26.23
10/03/2016,27.53
11/03/2016,28.29
12/03/2016,27.81
13/03/2016,23.22
14/03/2016,27.51
15/03/2016,27.91
16/03/2016,26.49
17/03/2016,29.37
18/03/2016,28.13
19/03/2016,25.45
20/03/2016,25.68
21/03/2016,27.37
22/03/2016,29.11
23/03/2016,27.72
24/03/2016,28.04
25/03/2016,26.34
26/03/2016,20.42
27/03/2016,16.5
28/03/2016,15.43
29/03/2016,27.01
30/03/2016,27.16
31/03/2016,27.96
1/04/2016,27.61
2/04/2016,23.59
3/04/2016,20.01
4/04/2016,27.09
5/04/2016,26.87
6/04/2016,23.12
7/04/2016,23.64
8/04/2016,28.35
9/04/2016,24.28
10/04/2016,21.99
11/04/2016,23.91
12/04/2016,29
13/04/2016,28.42
14/04/2016,26.74
20/04/2016,24.89
21/04/2016,26.88
22/04/2016,27.11
23/04/2016,22.8
24/04/2016,17.18
25/04/2016,27.44
26/04/2016,28.22
27/04/2016,26.18
28/04/2016,32.48
29/04/2016,29.68
30/04/2016,24.79
1/05/2016,20
2/05/2016,29.65
3/05/2016,29.28
4/05/2016,27.67
5/05/2016,20.39
6/05/2016,26.76
7/05/2016,19.54
8/05/2016,15.37
9/05/2016,23.69
10/05/2016,27.9
11/05/2016,29.21
12/05/2016,29.55
13/05/2016,27.37
14/05/2016,20.98
15/05/2016,24.17
16/05/2016,24.84
17/05/2016,31.27
18/05/2016,30.7
19/05/2016,33.37
20/05/2016,28.69
21/05/2016,25.12
22/05/2016,27.57
23/05/2016,29.56
24/05/2016,29.46
25/05/2016,35.82
26/05/2016,32.25
27/05/2016,33.4
28/05/2016,28.59
29/05/2016,22.26
30/05/2016,28.24
31/05/2016,30.27
1/06/2016,32.12
2/06/2016,30.63
3/06/2016,32.29
4/06/2016,26.23
5/06/2016,22.72
6/06/2016,33.78
7/06/2016,32.25
8/06/2016,29.45
9/06/2016,32.23
10/06/2016,34.04
11/06/2016,27.76
12/06/2016,27.8
13/06/2016,39.86
14/06/2016,34.56
15/06/2016,42.71
16/06/2016,37.99
17/06/2016,37.41
18/06/2016,30.3
19/06/2016,27.18
20/06/2016,31.9
21/06/2016,33.47
22/06/2016,35.28
23/06/2016,38.66
24/06/2016,39.87
25/06/2016,32.46
26/06/2016,23.09
27/06/2016,34.73
28/06/2016,33.57
29/06/2016,31.07
30/06/2016,32.21
1/07/2016,31.54
2/07/2016,22.42
3/07/2016,23.76
4/07/2016,41.66
5/07/2016,34.07
6/07/2016,37.29
7/07/2016,34.37
8/07/2016,33.94
9/07/2016,28.07
10/07/2016,28.47
11/07/2016,32.15
12/07/2016,38
13/07/2016,35.75
14/07/2016,31.52
15/07/2016,31.31
16/07/2016,27.42
17/07/2016,26.9
18/07/2016,36.37
19/07/2016,37.72
20/07/2016,39.28
21/07/2016,39.75
22/07/2016,40.22
23/07/2016,37.21
24/07/2016,28.07
25/07/2016,36.6
26/07/2016,36.91
27/07/2016,34.53
28/07/2016,35.07
29/07/2016,30.75
30/07/2016,28.26
31/07/2016,26.04
1/08/2016,30.53
2/08/2016,32.55
3/08/2016,29.71
4/08/2016,28.66
5/08/2016,31.55
6/08/2016,28.45
7/08/2016,21.1
8/08/2016,25.31
9/08/2016,28.77
10/08/2016,28.1
11/08/2016,28.65
12/08/2016,28.02
13/08/2016,22.35
14/08/2016,22.3
15/08/2016,28.02
16/08/2016,29.35
17/08/2016,28.03
18/08/2016,30.55
19/08/2016,30.39
20/08/2016,24.81
21/08/2016,17.54
22/08/2016,27.1
23/08/2016,31.48
24/08/2016,30.67
25/08/2016,37.36
26/08/2016,32.13
27/08/2016,28.07
28/08/2016,23.64
29/08/2016,32.14
30/08/2016,32.04
31/08/2016,29.71
1/09/2016,32.46
2/09/2016,28.59
3/09/2016,27.99
4/09/2016,24.16
5/09/2016,37.29
6/09/2016,33.74
7/09/2016,34.79
8/09/2016,31.98
9/09/2016,33.54
10/09/2016,27.99
11/09/2016,27.12
12/09/2016,44.66
13/09/2016,47.17
14/09/2016,36.19
15/09/2016,34.48
16/09/2016,32.58
17/09/2016,28.34
18/09/2016,27.33
19/09/2016,34.8
20/09/2016,39.7
21/09/2016,35.53
22/09/2016,34.85
23/09/2016,32.14
24/09/2016,29.18
25/09/2016,25.14
26/09/2016,36.86
27/09/2016,35.24
28/09/2016,29.2
29/09/2016,28.45
30/09/2016,34.11
1/10/2016,31.3
2/10/2016,30.26
3/10/2016,31.14
4/10/2016,31.84
5/10/2016,28.93
6/10/2016,34.71
7/10/2016,37.12
8/10/2016,36.83
9/10/2016,34.78
10/10/2016,47.53
11/10/2016,36.58
12/10/2016,40.34
13/10/2016,35.31
14/10/2016,33.77
15/10/2016,34.49
16/10/2016,35.17
17/10/2016,42.04
18/10/2016,41.7
19/10/2016,43.84
20/10/2016,44.32
21/10/2016,41.86
22/10/2016,38.72
23/10/2016,35.8
24/10/2016,41.03
25/10/2016,43.45
26/10/2016,45.06
27/10/2016,41.67
28/10/2016,40.18
29/10/2016,36.53
30/10/2016,38.1
31/10/2016,43.46
1/11/2016,38.3
2/11/2016,40.51
3/11/2016,47.24
4/11/2016,40.54
5/11/2016,39.78
6/11/2016,38.47
7/11/2016,41.23
8/11/2016,52.73
9/11/2016,47.44
10/11/2016,54.37
11/11/2016,46.74
12/11/2016,39.15
13/11/2016,41.81
14/11/2016,54.34
15/11/2016,52.04
16/11/2016,43.35
17/11/2016,38.78
18/11/2016,40.63
19/11/2016,38.83
20/11/2016,33.99
21/11/2016,40.02
22/11/2016,39.83
23/11/2016,46.31
24/11/2016,39.85
25/11/2016,42.74
26/11/2016,40.68
27/11/2016,37.79
28/11/2016,42.61
29/11/2016,44.61
30/11/2016,40.72
1/12/2016,39.53
2/12/2016,53.93
3/12/2016,38.52
4/12/2016,39.07
5/12/2016,47.86
6/12/2016,53.51
7/12/2016,38.09
8/12/2016,35.17
9/12/2016,36.65
10/12/2016,33.87
11/12/2016,34.22
12/12/2016,49.59
13/12/2016,49.49
14/12/2016,59.16
15/12/2016,48.52
16/12/2016,53.84
17/12/2016,42.97
18/12/2016,40.83
19/12/2016,54.7
20/12/2016,50.6
21/12/2016,39.02
